roll_no,grade,name,points,school,section,friends,updated_at
1,11,Dora O'Kon,13,School 1,Section Section 4,"29, 256, 680, 830, 855",2023-06-16 18:57:33.787011+00:00
2,11,Lacey Hahn,5,School 1,Section Section 2,"547, 610, 634, 934, 961",2023-05-26 23:40:24.788858+00:00
3,9,Cale Lang,94,School 1,Section Section 4,"15, 253, 713, 729, 803",2023-05-28 19:31:54.790344+00:00
4,9,Tina Smith,94,School 1,Section Section 4,"357, 411, 515",2023-05-29 12:55:11.791911+00:00
5,12,Kale Moen,83,School 1,Section Section 4,"435, 505, 941",2023-07-14 07:10:24.793563+00:00
6,11,Eva Hammes,4,School 1,Section Section 4,"36, 147, 165, 416, 536, 710, 728, 763",2023-06-07 11:04:11.795040+00:00
7,10,Nakia Hane,88,School 1,Section Section 3,"110, 126, 171, 344, 360, 906",2023-07-19 16:01:30.796547+00:00
8,10,Lilla Beer,8,School 1,Section Section 1,"45, 102, 487, 633, 685, 806, 825, 941",2023-06-15 11:57:40.798149+00:00
9,11,Devin Mann,72,School 1,Section Section 4,"115, 164, 213, 267, 464, 679, 983",2023-07-20 23:25:21.799725+00:00
10,12,Rene Smith,80,School 1,Section Section 2,"64, 108, 583, 718, 830, 861, 932",2023-06-22 10:51:49.801180+00:00
11,9,Keanu Yost,32,School 1,Section Section 1,"132, 326, 629, 911, 922",2023-06-13 04:52:39.802638+00:00
12,11,Kale Moen,77,School 1,Section Section 2,"26, 81, 220, 320, 497, 683, 782, 948",2023-06-08 15:49:52.804056+00:00
13,11,Lia Ferry,27,School 1,Section Section 3,"79, 407, 582, 678, 689, 734",2023-06-23 05:24:06.805503+00:00
14,9,Devin Mann,21,School 1,Section Section 1,"197, 256, 571, 682, 690, 956",2023-06-23 23:09:52.806936+00:00
15,12,Arvid Bode,6,School 1,Section Section 3,"3, 62, 253, 339, 353, 674, 761, 841, 878",2023-05-27 13:53:53.808346+00:00
16,12,Clay Cole,37,School 1,Section Section 2,"92, 221, 391, 578, 601, 637",2023-07-16 00:13:35.812220+00:00
17,12,Sim Parker,79,School 1,Section Section 1,"18, 104, 158, 337, 461, 484, 747",2023-06-09 16:58:10.813621+00:00
18,10,Keanu Yost,35,School 1,Section Section 4,"17, 32, 248, 394, 641, 778, 869",2023-07-13 17:26:44.815021+00:00
19,12,Russ Lang,60,School 1,Section Section 3,"56, 698",2023-06-27 00:14:59.816466+00:00
20,10,Josie Rau,20,School 1,Section Section 4,"35, 165, 247, 251, 271, 433, 838",2023-07-24 06:10:12.817897+00:00
21,10,Sim Parker,94,School 1,Section Section 4,"125, 444, 546, 577, 638, 731, 835",2023-06-20 06:01:18.819317+00:00
22,11,Dora O'Kon,96,School 1,Section Section 3,75,2023-06-17 15:02:08.820825+00:00
